Garage_Cars,Year_Built,Total_Bsmt_SF,Wood_Deck_SF,No_Fireplace,Lot_Area,Second_Flr_SF,Garage_Area,Longitude,Bsmt_Unf_SF
2,1996,691,0,1,7875,862,420,-93.637865,277
1,1910,481,0,1,6756,0,200,-93.615031,481
3,1916,624,0,1,4571,720,513,-93.618296,624
1,1968,890,0,1,8450,0,308,-93.670997,0
1,1941,1528,0,0,10452,908,312,-93.640041,850
1,1950,768,0,1,6000,560,308,-93.608866,384
3,2003,2392,248,0,13472,0,968,-93.65604,2336
2,2004,956,0,1,10142,1128,618,-93.692309,300
1,1956,1008,0,0,10533,0,313,-93.61818199999999,235
1,1963,1040,0,1,7500,0,308,-93.672067,216
0,1961,1800,0,1,8000,0,0,-93.606746,1800
2,1963,1728,0,1,9100,0,504,-93.675963,396
2,2007,728,100,0,9018,728,400,-93.645732,728
1,1962,864,0,1,7000,0,336,-93.604568,396
2,1998,1463,0,1,14753,0,539,-93.691355,513
3,2006,1063,192,0,14154,1101,947,-93.654774,1063
1,1953,0,208,1,9533,0,616,-93.618607,0
3,2008,1751,216,0,11778,0,874,-93.686789,598
1,1954,1056,390,1,9250,0,260,-93.6168658,108
2,1910,1077,120,0,10818,779,648,-93.612266,1077
2,1900,676,0,1,14235,614,484,-93.6801805,676
2,1954,894,0,1,9450,0,400,-93.665875,342
2,1920,684,0,1,12354,512,528,-93.657963,684
1,1920,715,55,0,12513,457,368,-93.619029,715
3,2003,2200,208,0,15262,0,685,-93.6552449,643
0,1962,1728,0,1,13260,0,0,-93.622904,228
1,1955,0,0,0,7200,0,392,-93.611642,0
2,2004,847,100,0,12393,1101,434,-93.687685,847
3,2008,1254,168,1,10324,0,810,-93.69157,382
2,2004,848,140,1,4426,0,420,-93.68369,186
2,1992,1449,150,0,16698,815,525,-93.67929699999999,649
1,1961,1029,64,1,7943,0,261,-93.669741,126
1,1938,884,64,1,9260,442,225,-93.63949699999999,884
1,1925,960,0,1,6120,0,264,-93.62256500000001,960
2,2008,1600,162,0,5587,0,482,-93.616242,120
3,2006,1108,120,0,13440,1402,670,-93.65627020000001,1108
2,1969,1288,312,0,9600,0,502,-93.632537,588
1,1970,546,0,1,1533,546,286,-93.6019,138
2,2006,384,100,1,9735,640,400,-93.649475,384
3,1995,1462,0,0,15138,1304,810,-93.657163,773
2,1968,2110,0,0,11160,0,522,-93.61731999999999,1045
1,1946,407,76,1,7311,0,297,-93.606764,407
2,1936,796,436,0,10800,370,566,-93.613899,170
2,1916,844,0,1,11888,689,441,-93.62725999999999,844
3,2004,1143,192,0,9591,1330,852,-93.654689,1143
1,1951,1080,0,0,11100,400,253,-93.66056999999999,0
2,1977,506,292,0,8471,0,492,-93.677012,0
3,2008,1694,160,1,10475,0,776,-93.69019,1694
1,1978,1152,0,1,10547,0,252,-93.657107,0
1,1947,832,158,1,8480,384,336,-93.6165173,390
3,2006,1626,0,0,11428,0,866,-93.65331,1626
1,1967,1214,0,0,10355,0,318,-93.626518,519
1,1920,939,24,1,6120,574,180,-93.621502,939
1,1977,757,104,0,2665,550,336,-93.603922,36
3,1992,1390,198,0,11134,823,713,-93.652773,261
1,1973,672,144,1,1890,546,264,-93.628656,316
2,1991,1217,0,1,7175,0,484,-93.686267,939
1,1960,958,0,1,12772,0,301,-93.623636,460
1,1963,1059,192,1,8414,0,264,-93.675399,396
1,1935,583,329,0,5707,595,180,-93.646555,583
0,1920,319,0,1,7920,371,0,-93.625289,319
3,1998,1066,120,0,10790,1277,600,-93.649901,1066
2,2004,2208,182,0,7296,0,564,-93.634265,243
2,2006,625,0,1,4251,625,528,-93.646478,625
0,1975,864,0,1,9350,0,0,-93.66506590000002,0
1,1972,864,0,0,15523,0,338,-93.683157,404
2,1972,725,0,1,7472,754,484,-93.626565,99
0,1971,672,201,1,1680,546,0,-93.627328,672
2,2003,764,0,1,2628,862,474,-93.651013,764
2,1992,1575,0,1,8012,0,529,-93.686428,1145
2,1959,1188,0,1,12160,0,531,-93.614882,188
1,1958,874,0,1,11344,650,315,-93.618143,414
1,1945,780,0,1,6430,524,440,-93.64694200000001,0
1,1920,672,0,1,10690,672,468,-93.62529,216
0,1938,585,42,1,12180,468,0,-93.660115,585
2,2005,1090,0,1,7024,0,450,-93.673253,110
2,1976,855,87,0,2280,601,440,-93.624748,289
2,2005,1142,90,1,3010,0,440,-93.642241,1126
2,1975,1040,0,1,4224,0,499,-93.605351,271
2,2004,1500,192,1,8487,0,570,-93.686051,1480
1,1953,1000,0,1,9525,541,305,-93.666096,532
2,1931,952,90,0,6120,752,468,-93.620391,952
2,1953,1809,166,0,21000,0,450,-93.639393,905
2,1977,995,0,0,9720,0,576,-93.6874333,240
1,1938,827,0,1,6900,424,240,-93.6090761,827
2,1934,816,112,0,6240,0,528,-93.623642,816
2,1964,1127,180,0,12095,0,645,-93.626979,563
1,1949,1067,0,0,15600,537,295,-93.640762,248
2,1967,894,0,1,9764,0,450,-93.677945,192
2,1928,784,0,1,9000,0,360,-93.680198,784
2,1965,1068,0,0,15300,0,528,-93.60743000000001,1026
3,2008,1641,0,1,14463,0,885,-93.653039,526
1,1926,644,0,0,8969,644,369,-93.646438,265
3,2003,2846,220,0,14300,0,958,-93.65606700000001,1473
2,1958,585,274,0,19958,0,461,-93.6494462,585
1,1957,1104,120,0,11250,684,304,-93.660877,1104
2,1965,1088,0,0,8658,0,440,-93.608909,445
2,1900,797,192,1,9142,797,420,-93.61844,797
2,1954,1178,280,1,11027,0,452,-93.618462,171
2,2005,1844,165,0,10994,0,620,-93.69139,868
2,2005,1113,0,0,9675,858,689,-93.641251,772
1,1954,1172,240,1,9525,0,366,-93.666097,218
3,2003,1765,268,0,16451,886,795,-93.654914,1765
1,1916,952,0,0,8854,0,192,-93.62611600000001,952
1,1958,1215,0,1,12400,0,297,-93.614059,630
3,2006,1095,192,0,10728,844,1053,-93.642862,1095
1,1994,990,66,1,9757,0,440,-93.692135,235
1,1906,756,57,1,10320,713,216,-93.62458000000001,756
2,1961,1144,0,1,7875,0,456,-93.61786020000001,572
3,1925,2171,631,0,22136,1248,1008,-93.620354,1153
3,2007,1482,0,0,9588,1092,868,-93.690234,1482
1,1920,565,0,0,5520,651,355,-93.624688,497
2,2003,847,120,0,8396,1139,434,-93.640051,847
1,1956,1202,0,1,8750,0,304,-93.61476800000001,565
2,2001,920,0,0,11250,866,608,-93.68895,434
2,2007,920,0,0,12852,860,612,-93.651718,150
2,2000,756,0,1,2980,756,440,-93.645585,290
2,1923,784,0,0,9650,784,599,-93.642886,784
2,2005,1368,132,0,6955,0,474,-93.649553,1368
2,1975,1057,0,0,2280,0,440,-93.625945,0
3,1998,1982,144,0,11675,0,938,-93.651562,322
1,1931,1040,0,0,7758,592,240,-93.628447,816
2,1998,932,0,0,11184,701,460,-93.63900699999999,932
2,2005,1310,0,0,8767,0,400,-93.683758,1286
2,1926,850,0,1,6978,0,576,-93.61896899999999,850
2,1989,807,0,0,11287,807,575,-93.683226,386
2,1998,789,0,0,8402,676,393,-93.63864699999999,789
2,1971,1803,200,0,17597,0,551,-93.643539,581
2,2000,1630,74,0,9750,0,451,-93.68167,1630
2,1977,1208,198,0,11250,0,546,-93.64606500000001,441
2,2001,1257,0,0,10400,871,570,-93.684227,1257
