Sale_Price,Garage_Cars,Year_Built,Total_Bsmt_SF,Wood_Deck_SF,No_Fireplace,Lot_Area,Second_Flr_SF,Garage_Area,Longitude,Bsmt_Unf_SF
215000,2,1960,1080,210,0,31770,0,528,-93.619754,441
105000,1,1961,882,140,1,11622,0,730,-93.61975600000001,270
172000,1,1958,1329,393,1,14267,0,312,-93.6193873,406
244000,2,1968,2110,0,0,11160,0,522,-93.61731999999999,1045
189900,2,1997,928,212,0,13830,701,482,-93.638933,137
195500,2,1998,926,360,0,9978,678,470,-93.638925,324
213500,2,2001,1338,0,1,4920,0,582,-93.633792,722
191500,2,1992,1280,0,1,5005,0,506,-93.633826,1017
236500,2,1995,1595,237,0,5389,0,608,-93.632852,415
189000,2,1999,994,140,0,7500,776,442,-93.63906800000001,994
175900,2,1993,763,157,0,10000,892,440,-93.63694699999999,763
185000,2,1992,1168,483,1,7980,0,420,-93.635951,233
180400,2,1998,789,0,0,8402,676,393,-93.63864699999999,789
171500,2,1990,1300,192,0,10176,0,506,-93.634626,663
212000,2,1985,1488,0,1,6820,0,528,-93.632913,0
538000,3,2003,1650,503,0,53504,1589,841,-93.62655,234
164000,2,1988,559,325,1,12134,672,492,-93.6235954,132
394432,3,2010,1856,113,0,11394,0,834,-93.628804,411
141000,2,1951,864,0,1,19138,0,400,-93.62297099999999,744
210000,2,1978,1542,349,0,13175,0,500,-93.636655,589
190000,2,1977,1844,0,0,11751,0,546,-93.633962,1139
170000,2,1974,1053,0,0,10625,0,528,-93.636372,0
216000,2,2000,814,0,1,7500,860,663,-93.63936600000001,281
149000,2,1970,1004,0,0,11241,0,480,-93.626231,426
149900,2,1971,1078,0,0,12537,0,500,-93.626537,344
142000,1,1968,1056,0,0,8450,0,304,-93.62880600000001,281
126000,2,1970,882,240,1,8400,0,525,-93.627112,0
115000,0,1971,864,0,0,10500,0,0,-93.62276899999999,432
184000,2,1999,1405,203,0,5858,0,511,-93.62437299999999,354
96000,1,1971,483,275,1,1680,504,264,-93.627271,327
105500,1,1971,525,0,1,1680,567,320,-93.62753599999999,225
88000,1,1971,525,0,1,1680,567,264,-93.62728,525
127500,2,1977,1069,0,0,4043,0,440,-93.62723199999999,709
149900,2,1975,855,173,0,2280,601,440,-93.625924,341
120000,1,1975,836,0,1,2280,0,308,-93.625966,836
146000,2,1978,855,26,0,2280,601,440,-93.625848,544
376162,3,2009,1590,144,0,12858,707,751,-93.653201,1590
306000,3,2007,1704,0,0,11478,0,772,-93.654645,486
395192,3,2009,1930,168,0,10159,0,606,-93.65373290000001,284
290941,3,2009,1544,0,1,12883,0,868,-93.6528306,1544
220000,2,2005,1541,0,0,12182,0,532,-93.652713,340
275000,3,2005,1698,192,0,11520,0,730,-93.65332,1588
259000,3,2005,1822,0,0,14122,0,678,-93.652336,1794
214000,2,2004,1517,0,1,10171,0,532,-93.652307,1515
611657,3,2009,2330,0,0,12919,0,820,-93.655051,142
224000,2,2009,1358,192,0,6371,0,484,-93.650436,625
500000,3,2003,2846,220,0,14300,0,958,-93.65606700000001,1473
320000,3,2002,1671,238,0,13650,563,756,-93.654853,1093
319900,2,2005,1752,196,0,7658,0,576,-93.65412099999999,1296
205000,2,2006,1370,120,0,7132,0,484,-93.649447,1346
175500,2,2003,764,0,1,2628,862,474,-93.651013,764
199500,2,2005,1324,36,1,18494,0,430,-93.644356,1324
160000,2,2006,1145,100,1,3203,0,437,-93.641635,1129
192000,2,2004,1256,146,0,3182,0,430,-93.642252,1232
184500,2,2004,384,100,0,13300,630,400,-93.644076,58
216500,2,2002,860,288,0,7851,1100,440,-93.641487,235
185088,2,2004,847,144,0,8577,886,433,-93.642447,847
180000,2,2000,384,180,0,7750,656,400,-93.641325,134
222500,2,2001,884,144,0,9505,1151,434,-93.641337,884
333168,3,1999,1393,668,0,14774,1177,779,-93.651381,1393
355000,3,1998,1629,23,0,17433,830,962,-93.652334,1629
